experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_com_hivemq_messages_incoming_publish_count,prom_com_hivemq_messages_outgoing_publish_count,prom_com_hivemq_networking_bytes_read_total,prom_com_hivemq_networking_bytes_written_total,prom_com_hivemq_subscriptions_overall_current,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
hivemq_125kb_qos0_20260420T174511,hivemq,125kb,0,0,2026-04-20T18:04:34.835366+00:00,1092.79,results/125kb/captures/hivemq_125kb_qos0_20260420T174511.pcap,738.0,738.0,94863080.0,,1.0,0.86,5.83,442MB,99.8MB,27.5MB,144MB,106
hivemq_125kb_qos0_20260420T174511,hivemq,125kb,0,1,2026-04-20T18:22:54.500293+00:00,1092.15,results/125kb/captures/hivemq_125kb_qos0_20260420T174511.pcap,1674.0,1674.0,215104606.0,,1.0,0.94,6.75,887MB,221MB,31.5MB,285MB,106
hivemq_125kb_qos0_20260420T174511,hivemq,125kb,0,2,2026-04-20T18:41:09.937687+00:00,1085.57,results/125kb/captures/hivemq_125kb_qos0_20260420T174511.pcap,2584.0,2584.0,332014737.0,,1.0,0.66,6.80,1.33GB,341MB,36.5MB,419MB,105
hivemq_125kb_qos0_20260420T174511,hivemq,125kb,0,3,2026-04-20T18:59:26.637377+00:00,1087.24,results/125kb/captures/hivemq_125kb_qos0_20260420T174511.pcap,3078.0,3078.0,395609977.0,,1.0,0.75,6.84,1.77GB,407MB,42.3MB,507MB,106
hivemq_125kb_qos0_20260420T174511,hivemq,125kb,0,4,2026-04-20T19:17:43.897078+00:00,1085.83,results/125kb/captures/hivemq_125kb_qos0_20260420T174511.pcap,3488.0,3488.0,448434851.0,,1.0,0.87,6.99,2.2GB,462MB,45MB,582MB,106
hivemq_125kb_qos0_20260420T174511,hivemq,125kb,0,5,2026-04-20T19:36:00.162317+00:00,1088.74,results/125kb/captures/hivemq_125kb_qos0_20260420T174511.pcap,3918.0,3918.0,503823246.0,,1.0,1.43,7.02,2.64GB,520MB,48.4MB,660MB,108
hivemq_125kb_qos0_20260420T174511,hivemq,125kb,0,6,2026-04-20T19:54:13.879694+00:00,1086.77,results/125kb/captures/hivemq_125kb_qos0_20260420T174511.pcap,4284.0,4284.0,551008506.0,,1.0,1.11,7.00,3.07GB,570MB,50.3MB,728MB,106
hivemq_125kb_qos0_20260420T174511,hivemq,125kb,0,7,2026-04-20T20:12:30.020970+00:00,1088.62,results/125kb/captures/hivemq_125kb_qos0_20260420T174511.pcap,4464.0,4464.0,574353795.0,,1.0,0.81,7.02,3.5GB,596MB,53MB,773MB,106
hivemq_125kb_qos0_20260420T174511,hivemq,125kb,0,8,2026-04-20T20:30:44.823364+00:00,1087.25,results/125kb/captures/hivemq_125kb_qos0_20260420T174511.pcap,4627.0,4627.0,595524499.0,,1.0,0.74,7.03,3.92GB,620MB,54.4MB,816MB,106
hivemq_125kb_qos0_20260420T174511,hivemq,125kb,0,9,2026-04-20T20:48:56.025303+00:00,1083.64,results/125kb/captures/hivemq_125kb_qos0_20260420T174511.pcap,5242.0,5242.0,674624507.0,,1.0,0.60,7.10,4.36GB,702MB,63.4MB,920MB,106
