experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_broker_messages_received,prom_broker_messages_sent,prom_broker_bytes_received,prom_broker_bytes_sent,prom_broker_clients_connected,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
mosquitto_125kb_qos0_20260420T204916,mosquitto,125kb,0,0,2026-04-20T21:08:16.676485+00:00,1083.74,results/125kb/captures/mosquitto_125kb_qos0_20260420T204916.pcap,12030.0,15619.0,509075514.0,507427365.0,2.0,0.05,0.10,518MB,515MB,11.6MB,0B,1
mosquitto_125kb_qos0_20260420T204916,mosquitto,125kb,0,1,2026-04-20T21:26:27.263660+00:00,1083.08,results/125kb/captures/mosquitto_125kb_qos0_20260420T204916.pcap,24089.0,30838.0,1018689956.0,1016890658.0,2.0,0.09,0.10,1.04GB,1.03GB,11.7MB,0B,1
mosquitto_125kb_qos0_20260420T204916,mosquitto,125kb,0,2,2026-04-20T21:44:41.065132+00:00,1082.27,results/125kb/captures/mosquitto_125kb_qos0_20260420T204916.pcap,36191.0,46179.0,1531371655.0,1527512822.0,2.0,0.07,0.10,1.56GB,1.55GB,11.7MB,0B,1
mosquitto_125kb_qos0_20260420T204916,mosquitto,125kb,0,3,2026-04-20T22:02:52.244825+00:00,1083.91,results/125kb/captures/mosquitto_125kb_qos0_20260420T204916.pcap,48369.0,61582.0,2048404878.0,2040699390.0,2.0,0.06,0.09,2.07GB,2.06GB,11.9MB,0B,1
mosquitto_125kb_qos0_20260420T204916,mosquitto,125kb,0,4,2026-04-20T22:21:03.552546+00:00,1084.1,results/125kb/captures/mosquitto_125kb_qos0_20260420T204916.pcap,60467.0,76964.0,2560579632.0,2551323708.0,3.0,0.04,0.09,2.59GB,2.57GB,12.2MB,0B,1
mosquitto_125kb_qos0_20260420T204916,mosquitto,125kb,0,5,2026-04-20T22:39:12.913178+00:00,1082.45,results/125kb/captures/mosquitto_125kb_qos0_20260420T204916.pcap,72540.0,92253.0,3071474023.0,3061047478.0,2.0,0.05,0.09,3.11GB,3.09GB,12.4MB,0B,1
mosquitto_125kb_qos0_20260420T204916,mosquitto,125kb,0,6,2026-04-20T22:57:18.014955+00:00,1077.99,results/125kb/captures/mosquitto_125kb_qos0_20260420T204916.pcap,84648.0,107468.0,3583905265.0,3572433297.0,2.0,0.06,0.09,3.63GB,3.61GB,12.4MB,0B,1
mosquitto_125kb_qos0_20260420T204916,mosquitto,125kb,0,7,2026-04-20T23:15:22.924859+00:00,1077.37,results/125kb/captures/mosquitto_125kb_qos0_20260420T204916.pcap,96777.0,122837.0,4097358827.0,4084466360.0,2.0,0.07,0.08,4.15GB,4.12GB,12.5MB,0B,1
mosquitto_125kb_qos0_20260420T204916,mosquitto,125kb,0,8,2026-04-20T23:33:28.458000+00:00,1078.01,results/125kb/captures/mosquitto_125kb_qos0_20260420T204916.pcap,109041.0,138201.0,4616456635.0,4602007405.0,2.0,0.07,0.08,4.67GB,4.64GB,12.5MB,0B,1
mosquitto_125kb_qos0_20260420T204916,mosquitto,125kb,0,9,2026-04-20T23:51:33.989186+00:00,1077.91,results/125kb/captures/mosquitto_125kb_qos0_20260420T204916.pcap,121096.0,153402.0,5126560582.0,5110959459.0,2.0,0.05,0.09,5.19GB,5.15GB,13.3MB,0B,1
