experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_nanomq_messages_received,prom_nanomq_messages_sent,prom_nanomq_connections_count,prom_nanomq_memory_usage,prom_nanomq_cpu_usage,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
nanomq_35kb_qos0_20260420T135213,nanomq,35kb,0,0,2026-04-20T14:09:48.298464+00:00,1007.34,results/35kb/captures/nanomq_35kb_qos0_20260420T135213.pcap,11923.0,3974.0,1.0,2252800.0,0.09,0.00,0.04,148MB,147MB,2.64MB,4.1kB,32
nanomq_35kb_qos0_20260420T135213,nanomq,35kb,0,1,2026-04-20T14:26:44.851635+00:00,1008.95,results/35kb/captures/nanomq_35kb_qos0_20260420T135213.pcap,23899.0,7966.0,1.0,2150400.0,0.1,0.12,0.04,296MB,294MB,2.64MB,4.1kB,32
nanomq_35kb_qos0_20260420T135213,nanomq,35kb,0,2,2026-04-20T14:43:42.190611+00:00,1009.61,results/35kb/captures/nanomq_35kb_qos0_20260420T135213.pcap,35857.0,11952.0,1.0,2256896.0,0.1,0.00,0.04,443MB,441MB,2.64MB,4.1kB,32
nanomq_35kb_qos0_20260420T135213,nanomq,35kb,0,3,2026-04-20T15:00:41.238827+00:00,1011.42,results/35kb/captures/nanomq_35kb_qos0_20260420T135213.pcap,47989.0,15996.0,1.0,2347008.0,0.1,0.00,0.04,591MB,587MB,3.15MB,4.1kB,32
nanomq_35kb_qos0_20260420T135213,nanomq,35kb,0,4,2026-04-20T15:17:36.643633+00:00,1007.88,results/35kb/captures/nanomq_35kb_qos0_20260420T135213.pcap,59977.0,19992.0,1.0,2273280.0,0.1,0.01,0.04,739MB,734MB,3.15MB,4.1kB,32
nanomq_35kb_qos0_20260420T135213,nanomq,35kb,0,5,2026-04-20T15:34:33.059516+00:00,1008.88,results/35kb/captures/nanomq_35kb_qos0_20260420T135213.pcap,71941.0,23980.0,1.0,2031616.0,0.11,0.03,0.04,887MB,881MB,3.15MB,4.1kB,32
nanomq_35kb_qos0_20260420T135213,nanomq,35kb,0,6,2026-04-20T15:51:25.688561+00:00,1005.1,results/35kb/captures/nanomq_35kb_qos0_20260420T135213.pcap,83917.0,27972.0,1.0,2383872.0,0.1,0.00,0.04,1.03GB,1.03GB,3.15MB,4.1kB,32
nanomq_35kb_qos0_20260420T135213,nanomq,35kb,0,7,2026-04-20T16:08:06.298374+00:00,993.48,results/35kb/captures/nanomq_35kb_qos0_20260420T135213.pcap,95869.0,31956.0,1.0,2252800.0,0.1,0.01,0.04,1.18GB,1.17GB,3.15MB,4.1kB,32
nanomq_35kb_qos0_20260420T135213,nanomq,35kb,0,8,2026-04-20T16:24:47.700891+00:00,993.83,results/35kb/captures/nanomq_35kb_qos0_20260420T135213.pcap,107995.0,35998.0,1.0,2097152.0,0.11,0.00,0.04,1.33GB,1.32GB,3.15MB,4.1kB,32
nanomq_35kb_qos0_20260420T135213,nanomq,35kb,0,9,2026-04-20T16:41:26.473375+00:00,992.3,results/35kb/captures/nanomq_35kb_qos0_20260420T135213.pcap,119941.0,39980.0,1.0,2404352.0,0.1,0.02,0.04,1.48GB,1.47GB,3.15MB,4.1kB,32
