experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_emqx_messages_received,prom_emqx_messages_sent,prom_emqx_bytes_received,prom_emqx_bytes_sent,prom_emqx_connections_count,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
emqx_35kb_qos0_20260420T080950,emqx,35kb,0,0,2026-04-20T08:27:38.065437+00:00,1020.48,results/35kb/captures/emqx_35kb_qos0_20260420T080950.pcap,3958.0,3915.0,142799217.0,141065167.0,5.0,4.23,5.44,148MB,147MB,109MB,13.3MB,60
emqx_35kb_qos0_20260420T080950,emqx,35kb,0,1,2026-04-20T08:44:47.090162+00:00,1022.18,results/35kb/captures/emqx_35kb_qos0_20260420T080950.pcap,7980.0,7898.0,287907482.0,284580412.0,5.0,5.52,5.47,295MB,293MB,109MB,15.3MB,60
emqx_35kb_qos0_20260420T080950,emqx,35kb,0,2,2026-04-20T09:01:52.014849+00:00,1017.46,results/35kb/captures/emqx_35kb_qos0_20260420T080950.pcap,12000.0,11877.0,432943531.0,427951534.0,5.0,5.21,5.45,443MB,440MB,109MB,17.1MB,60
emqx_35kb_qos0_20260420T080950,emqx,35kb,0,3,2026-04-20T09:18:56.864631+00:00,1017.2,results/35kb/captures/emqx_35kb_qos0_20260420T080950.pcap,15980.0,15793.0,576536479.0,569053442.0,5.0,5.72,5.50,591MB,586MB,109MB,18.8MB,60
emqx_35kb_qos0_20260420T080950,emqx,35kb,0,4,2026-04-20T09:36:02.422040+00:00,1018.29,results/35kb/captures/emqx_35kb_qos0_20260420T080950.pcap,20000.0,19788.0,721572533.0,713000563.0,5.0,5.01,5.51,739MB,733MB,109MB,21MB,60
emqx_35kb_qos0_20260420T080950,emqx,35kb,0,5,2026-04-20T09:53:09.946237+00:00,1020.78,results/35kb/captures/emqx_35kb_qos0_20260420T080950.pcap,23964.0,23720.0,864588144.0,854677880.0,5.0,5.40,5.44,886MB,880MB,109MB,23MB,60
emqx_35kb_qos0_20260420T080950,emqx,35kb,0,6,2026-04-20T10:10:15.653962+00:00,1018.91,results/35kb/captures/emqx_35kb_qos0_20260420T080950.pcap,27994.0,27708.0,1009984988.0,998373323.0,5.0,4.68,5.54,1.03GB,1.03GB,109MB,24.4MB,60
emqx_35kb_qos0_20260420T080950,emqx,35kb,0,7,2026-04-20T10:27:23.931205+00:00,1020.59,results/35kb/captures/emqx_35kb_qos0_20260420T080950.pcap,31951.0,31623.0,1152762643.0,1139438488.0,5.0,6.65,5.53,1.18GB,1.17GB,109MB,26.3MB,60
emqx_35kb_qos0_20260420T080950,emqx,35kb,0,8,2026-04-20T10:44:28.766760+00:00,1018.12,results/35kb/captures/emqx_35kb_qos0_20260420T080950.pcap,35973.0,35598.0,1297870892.0,1282665721.0,5.0,4.69,5.49,1.33GB,1.32GB,109MB,28.4MB,60
emqx_35kb_qos0_20260420T080950,emqx,35kb,0,9,2026-04-20T11:01:36.690809+00:00,1020.35,results/35kb/captures/emqx_35kb_qos0_20260420T080950.pcap,39993.0,39575.0,1442906979.0,1425964877.0,5.0,3.93,5.55,1.48GB,1.47GB,109MB,30.2MB,60
