experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_emqx_messages_received,prom_emqx_messages_sent,prom_emqx_bytes_received,prom_emqx_bytes_sent,prom_emqx_connections_count,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
emqx_1kb_qos0_20260419T151335,emqx,1kb,0,0,2026-04-19T15:31:20.171391+00:00,1017.38,results/1kb/captures/emqx_1kb_qos0_20260419T151335.pcap,3986.0,3903.0,5028922.0,4743379.0,5.0,3.71,5.55,7.35MB,7.82MB,83.6MB,11.5MB,60
emqx_1kb_qos0_20260419T151335,emqx,1kb,0,1,2026-04-19T15:48:25.591173+00:00,1017.78,results/1kb/captures/emqx_1kb_qos0_20260419T151335.pcap,7954.0,7808.0,10035029.0,9488481.0,5.0,4.91,5.60,14.7MB,15.6MB,83.6MB,13.5MB,60
emqx_1kb_qos0_20260419T151335,emqx,1kb,0,2,2026-04-19T16:05:31.138144+00:00,1017.93,results/1kb/captures/emqx_1kb_qos0_20260419T151335.pcap,11984.0,11770.0,15119368.0,14302995.0,5.0,3.44,5.54,22MB,23.4MB,83.6MB,15.4MB,60
emqx_1kb_qos0_20260419T151335,emqx,1kb,0,3,2026-04-19T16:22:39.767583+00:00,1020.97,results/1kb/captures/emqx_1kb_qos0_20260419T151335.pcap,15996.0,15718.0,20181037.0,19100403.0,5.0,4.64,5.61,29.4MB,31.3MB,83.6MB,20.2MB,60
emqx_1kb_qos0_20260419T151335,emqx,1kb,0,4,2026-04-19T16:39:44.555439+00:00,1017.22,results/1kb/captures/emqx_1kb_qos0_20260419T151335.pcap,19972.0,19605.0,25197304.0,23824547.0,5.0,3.50,5.63,36.7MB,39MB,83.6MB,22.8MB,60
emqx_1kb_qos0_20260419T151335,emqx,1kb,0,5,2026-04-19T16:56:50.771380+00:00,1018.59,results/1kb/captures/emqx_1kb_qos0_20260419T151335.pcap,23990.0,23552.0,30266528.0,28620958.0,5.0,3.79,5.55,44MB,46.8MB,83.6MB,24.8MB,60
emqx_1kb_qos0_20260419T151335,emqx,1kb,0,6,2026-04-19T17:13:54.988778+00:00,1017.25,results/1kb/captures/emqx_1kb_qos0_20260419T151335.pcap,27954.0,27433.0,35267614.0,33337574.0,5.0,4.41,5.62,51.4MB,54.6MB,83.6MB,26.2MB,60
emqx_1kb_qos0_20260419T151335,emqx,1kb,0,7,2026-04-19T17:31:00.487682+00:00,1018.05,results/1kb/captures/emqx_1kb_qos0_20260419T151335.pcap,31980.0,31363.0,40346959.0,38114172.0,5.0,4.81,5.66,58.7MB,62.4MB,83.6MB,28.4MB,60
emqx_1kb_qos0_20260419T151335,emqx,1kb,0,8,2026-04-19T17:48:04.070687+00:00,1015.89,results/1kb/captures/emqx_1kb_qos0_20260419T151335.pcap,35954.0,35245.0,45360628.0,42832268.0,5.0,4.33,5.59,66MB,70.2MB,83.6MB,30.5MB,60
emqx_1kb_qos0_20260419T151335,emqx,1kb,0,9,2026-04-19T18:05:10.077903+00:00,1018.45,results/1kb/captures/emqx_1kb_qos0_20260419T151335.pcap,39976.0,39209.0,50434905.0,47648922.0,5.0,3.50,5.67,73.4MB,78MB,83.6MB,32.3MB,60
