experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_rabbitmq_channel_messages_published_total,prom_rabbitmq_channel_messages_delivered_total,prom_rabbitmq_connection_incoming_bytes_total,prom_rabbitmq_connection_outgoing_bytes_total,prom_rabbitmq_connections,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
rabbitmq_1kb_qos0_20260504T171621,rabbitmq,1kb,0,0,2026-05-04T17:34:16.595572+00:00,1026.77,results/1kb/captures/rabbitmq_1kb_qos0_20260504T171621.pcap,0.0,0.0,87.0,4595814.0,1.0,0.47,3.42,7.28MB,7.12MB,22.8MB,709kB,28
rabbitmq_1kb_qos0_20260504T171621,rabbitmq,1kb,0,1,2026-05-04T17:51:25.897543+00:00,1021.76,results/1kb/captures/rabbitmq_1kb_qos0_20260504T171621.pcap,0.0,0.0,105.0,9239248.0,1.0,0.33,3.33,14.5MB,14.2MB,24.3MB,905kB,28
rabbitmq_1kb_qos0_20260504T171621,rabbitmq,1kb,0,2,2026-05-04T18:08:38.161757+00:00,1024.81,results/1kb/captures/rabbitmq_1kb_qos0_20260504T171621.pcap,0.0,0.0,121.0,13895789.0,1.0,0.26,3.32,21.8MB,21.3MB,24.7MB,1.18MB,28
rabbitmq_1kb_qos0_20260504T171621,rabbitmq,1kb,0,3,2026-05-04T18:25:53.963171+00:00,1028.2,results/1kb/captures/rabbitmq_1kb_qos0_20260504T171621.pcap,0.0,0.0,1400.0,18491663.0,1.0,0.87,3.32,29.1MB,28.4MB,25.7MB,1.18MB,28
rabbitmq_1kb_qos0_20260504T171621,rabbitmq,1kb,0,4,2026-05-04T18:42:59.767749+00:00,1018.28,results/1kb/captures/rabbitmq_1kb_qos0_20260504T171621.pcap,0.0,0.0,2679.0,23155340.0,1.0,0.94,3.34,36.4MB,35.5MB,25.7MB,1.18MB,28
rabbitmq_1kb_qos0_20260504T171621,rabbitmq,1kb,0,5,2026-05-04T19:00:06.556815+00:00,1019.49,results/1kb/captures/rabbitmq_1kb_qos0_20260504T171621.pcap,0.0,0.0,1435.0,27816622.0,1.0,1.22,3.35,43.7MB,42.6MB,25.8MB,1.18MB,28
rabbitmq_1kb_qos0_20260504T171621,rabbitmq,1kb,0,6,2026-05-04T19:17:20.048067+00:00,1025.85,results/1kb/captures/rabbitmq_1kb_qos0_20260504T171621.pcap,0.0,0.0,1453.0,32460072.0,1.0,0.43,3.33,50.9MB,49.8MB,25.8MB,1.18MB,28
rabbitmq_1kb_qos0_20260504T171621,rabbitmq,1kb,0,7,2026-05-04T19:34:28.574662+00:00,1021.33,results/1kb/captures/rabbitmq_1kb_qos0_20260504T171621.pcap,0.0,0.0,1470.0,37120209.0,1.0,0.66,3.35,58.2MB,56.9MB,25.8MB,1.18MB,28
rabbitmq_1kb_qos0_20260504T171621,rabbitmq,1kb,0,8,2026-05-04T19:51:39.449909+00:00,1023.89,results/1kb/captures/rabbitmq_1kb_qos0_20260504T171621.pcap,0.0,0.0,225.0,41756479.0,1.0,0.32,3.34,65.5MB,64MB,25.8MB,1.18MB,28
rabbitmq_1kb_qos0_20260504T171621,rabbitmq,1kb,0,9,2026-05-04T20:08:51.211874+00:00,1024.66,results/1kb/captures/rabbitmq_1kb_qos0_20260504T171621.pcap,0.0,0.0,241.0,46383287.0,1.0,0.33,3.33,72.8MB,71.1MB,25.8MB,1.18MB,28
