experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_broker_messages_received,prom_broker_messages_sent,prom_broker_bytes_received,prom_broker_bytes_sent,prom_broker_clients_connected,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
mosquitto_1kb_qos0_20260419T182657,mosquitto,1kb,0,0,2026-04-19T18:44:42.309250+00:00,1009.99,results/1kb/captures/mosquitto_1kb_qos0_20260419T182657.pcap,12040.0,15280.0,5002237.0,5096803.0,2.0,0.05,0.08,7.45MB,7.01MB,11.1MB,0B,1
mosquitto_1kb_qos0_20260419T182657,mosquitto,1kb,0,1,2026-04-19T19:01:38.568226+00:00,1009.33,results/1kb/captures/mosquitto_1kb_qos0_20260419T182657.pcap,24157.0,30333.0,10039766.0,10218311.0,2.0,0.08,0.08,14.9MB,14MB,11.1MB,0B,1
mosquitto_1kb_qos0_20260419T182657,mosquitto,1kb,0,2,2026-04-19T19:18:33.682661+00:00,1007.96,results/1kb/captures/mosquitto_1kb_qos0_20260419T182657.pcap,36298.0,45358.0,15087331.0,15348284.0,2.0,0.07,0.08,22.3MB,21MB,11.1MB,0B,1
mosquitto_1kb_qos0_20260419T182657,mosquitto,1kb,0,3,2026-04-19T19:35:29.102049+00:00,1007.88,results/1kb/captures/mosquitto_1kb_qos0_20260419T182657.pcap,48439.0,60369.0,20134964.0,20478150.0,2.0,0.06,0.08,29.7MB,27.9MB,11.1MB,0B,1
mosquitto_1kb_qos0_20260419T182657,mosquitto,1kb,0,4,2026-04-19T19:52:25.051393+00:00,1008.35,results/1kb/captures/mosquitto_1kb_qos0_20260419T182657.pcap,60574.0,75448.0,25180020.0,25608464.0,2.0,0.05,0.08,37.2MB,34.9MB,11.1MB,0B,1
mosquitto_1kb_qos0_20260419T182657,mosquitto,1kb,0,5,2026-04-19T20:09:19.776919+00:00,1007.19,results/1kb/captures/mosquitto_1kb_qos0_20260419T182657.pcap,72720.0,90483.0,30230152.0,30741820.0,2.0,0.07,0.08,44.6MB,41.9MB,11.1MB,0B,1
mosquitto_1kb_qos0_20260419T182657,mosquitto,1kb,0,6,2026-04-19T20:26:15.007319+00:00,1008.14,results/1kb/captures/mosquitto_1kb_qos0_20260419T182657.pcap,84850.0,105524.0,35272707.0,35868813.0,2.0,0.05,0.08,52MB,48.9MB,11.1MB,0B,1
mosquitto_1kb_qos0_20260419T182657,mosquitto,1kb,0,7,2026-04-19T20:43:11.871720+00:00,1009.66,results/1kb/captures/mosquitto_1kb_qos0_20260419T182657.pcap,96966.0,120580.0,40310218.0,40991989.0,2.0,0.05,0.08,59.5MB,55.9MB,11.1MB,0B,1
mosquitto_1kb_qos0_20260419T182657,mosquitto,1kb,0,8,2026-04-19T21:00:08.431962+00:00,1009.71,results/1kb/captures/mosquitto_1kb_qos0_20260419T182657.pcap,109270.0,135909.0,45425965.0,46195984.0,2.0,0.05,0.08,66.9MB,62.9MB,11.1MB,0B,1
mosquitto_1kb_qos0_20260419T182657,mosquitto,1kb,0,9,2026-04-19T21:17:04.160071+00:00,1008.19,results/1kb/captures/mosquitto_1kb_qos0_20260419T182657.pcap,121344.0,150908.0,50445799.0,51301437.0,2.0,0.06,0.08,74.3MB,69.8MB,11.1MB,0B,1
