experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_com_hivemq_messages_incoming_publish_count,prom_com_hivemq_messages_outgoing_publish_count,prom_com_hivemq_networking_bytes_read_total,prom_com_hivemq_networking_bytes_written_total,prom_com_hivemq_subscriptions_overall_current,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
hivemq_1kb_qos0_20260419T121759,hivemq,1kb,0,0,2026-04-19T12:35:59.284181+00:00,1023.05,results/1kb/captures/hivemq_1kb_qos0_20260419T121759.pcap,3959.0,3959.0,4994811.0,,1.0,3.75,4.87,7.16MB,6.83MB,77.3MB,63.6MB,106
hivemq_1kb_qos0_20260419T121759,hivemq,1kb,0,1,2026-04-19T12:53:02.358305+00:00,1015.54,results/1kb/captures/hivemq_1kb_qos0_20260419T121759.pcap,7996.0,7996.0,10088001.0,,1.0,0.77,5.19,14.3MB,13.6MB,77.3MB,102MB,108
hivemq_1kb_qos0_20260419T121759,hivemq,1kb,0,2,2026-04-19T13:10:06.829345+00:00,1016.85,results/1kb/captures/hivemq_1kb_qos0_20260419T121759.pcap,11980.0,11980.0,15114249.0,,1.0,0.94,5.31,21.4MB,20.4MB,77.3MB,141MB,106
hivemq_1kb_qos0_20260419T121759,hivemq,1kb,0,3,2026-04-19T13:27:09.036169+00:00,1014.46,results/1kb/captures/hivemq_1kb_qos0_20260419T121759.pcap,15966.0,15966.0,20143178.0,,1.0,0.95,5.39,28.5MB,27.1MB,77.3MB,181MB,106
hivemq_1kb_qos0_20260419T121759,hivemq,1kb,0,4,2026-04-19T13:44:09.027205+00:00,1012.42,results/1kb/captures/hivemq_1kb_qos0_20260419T121759.pcap,19960.0,19960.0,25182088.0,,1.0,1.03,5.47,35.6MB,33.9MB,77.3MB,221MB,106
hivemq_1kb_qos0_20260419T121759,hivemq,1kb,0,5,2026-04-19T14:01:09.467510+00:00,1012.65,results/1kb/captures/hivemq_1kb_qos0_20260419T121759.pcap,23956.0,23956.0,30223533.0,,1.0,0.86,5.54,42.7MB,40.7MB,77.3MB,262MB,106
hivemq_1kb_qos0_20260419T121759,hivemq,1kb,0,6,2026-04-19T14:18:09.106452+00:00,1012.87,results/1kb/captures/hivemq_1kb_qos0_20260419T121759.pcap,27948.0,27948.0,35259867.0,,1.0,3.48,5.61,49.9MB,47.4MB,77.3MB,302MB,106
hivemq_1kb_qos0_20260419T121759,hivemq,1kb,0,7,2026-04-19T14:35:08.939676+00:00,1012.67,results/1kb/captures/hivemq_1kb_qos0_20260419T121759.pcap,32000.0,32000.0,40371980.0,,1.0,0.72,5.68,57MB,54.2MB,77.3MB,342MB,106
hivemq_1kb_qos0_20260419T121759,hivemq,1kb,0,8,2026-04-19T14:52:10.493078+00:00,1013.88,results/1kb/captures/hivemq_1kb_qos0_20260419T121759.pcap,35996.0,35996.0,45413427.0,,1.0,0.81,5.89,64.1MB,60.9MB,78.3MB,400MB,108
hivemq_1kb_qos0_20260419T121759,hivemq,1kb,0,9,2026-04-19T15:09:08.947349+00:00,1010.8,results/1kb/captures/hivemq_1kb_qos0_20260419T121759.pcap,39988.0,39988.0,50449856.0,,1.0,1.01,5.94,71.2MB,67.7MB,78.6MB,439MB,106
