experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_nanomq_messages_received,prom_nanomq_messages_sent,prom_nanomq_connections_count,prom_nanomq_memory_usage,prom_nanomq_cpu_usage,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
nanomq_1kb_qos0_20260419T211718,nanomq,1kb,0,0,2026-04-19T21:34:39.246262+00:00,993.38,results/1kb/captures/nanomq_1kb_qos0_20260419T211718.pcap,11899.0,3966.0,1.0,1953792.0,0.09,0.01,0.04,7.23MB,6.58MB,2.65MB,4.1kB,32
nanomq_1kb_qos0_20260419T211718,nanomq,1kb,0,1,2026-04-19T21:51:20.466185+00:00,994.15,results/1kb/captures/nanomq_1kb_qos0_20260419T211718.pcap,24001.0,8000.0,1.0,1937408.0,0.08,0.00,0.04,14.5MB,13.2MB,2.65MB,4.1kB,32
nanomq_1kb_qos0_20260419T211718,nanomq,1kb,0,2,2026-04-19T22:08:00.537244+00:00,992.54,results/1kb/captures/nanomq_1kb_qos0_20260419T211718.pcap,35953.0,11984.0,1.0,2199552.0,0.08,0.00,0.04,21.7MB,19.7MB,2.65MB,4.1kB,32
nanomq_1kb_qos0_20260419T211718,nanomq,1kb,0,3,2026-04-19T22:24:39.576148+00:00,991.93,results/1kb/captures/nanomq_1kb_qos0_20260419T211718.pcap,47887.0,15962.0,1.0,2056192.0,0.08,0.00,0.04,28.9MB,26.3MB,2.65MB,4.1kB,32
nanomq_1kb_qos0_20260419T211718,nanomq,1kb,0,4,2026-04-19T22:41:14.160522+00:00,987.43,results/1kb/captures/nanomq_1kb_qos0_20260419T211718.pcap,59857.0,19952.0,1.0,2174976.0,0.08,0.00,0.04,36.1MB,32.9MB,2.65MB,4.1kB,32
nanomq_1kb_qos0_20260419T211718,nanomq,1kb,0,5,2026-04-19T22:57:47.969474+00:00,987.76,results/1kb/captures/nanomq_1kb_qos0_20260419T211718.pcap,71839.0,23946.0,1.0,2297856.0,0.09,0.05,0.04,43.4MB,39.5MB,2.65MB,4.1kB,32
nanomq_1kb_qos0_20260419T211718,nanomq,1kb,0,6,2026-04-19T23:14:23.217211+00:00,989.38,results/1kb/captures/nanomq_1kb_qos0_20260419T211718.pcap,83977.0,27992.0,1.0,1769472.0,0.08,0.00,0.04,50.6MB,46.1MB,2.65MB,4.1kB,32
nanomq_1kb_qos0_20260419T211718,nanomq,1kb,0,7,2026-04-19T23:30:56.205798+00:00,985.46,results/1kb/captures/nanomq_1kb_qos0_20260419T211718.pcap,95947.0,31982.0,1.0,2277376.0,0.08,0.00,0.04,57.8MB,52.6MB,2.65MB,4.1kB,32
nanomq_1kb_qos0_20260419T211718,nanomq,1kb,0,8,2026-04-19T23:47:32.675709+00:00,988.83,results/1kb/captures/nanomq_1kb_qos0_20260419T211718.pcap,107881.0,35960.0,1.0,2265088.0,0.08,0.23,0.04,65.1MB,59.2MB,2.65MB,4.1kB,32
nanomq_1kb_qos0_20260419T211718,nanomq,1kb,0,9,2026-04-20T00:04:05.501887+00:00,985.14,results/1kb/captures/nanomq_1kb_qos0_20260419T211718.pcap,119995.0,39998.0,1.0,1990656.0,0.08,0.00,0.04,72.3MB,65.8MB,2.65MB,4.1kB,32
