experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_emqx_messages_received,prom_emqx_messages_sent,prom_emqx_bytes_received,prom_emqx_bytes_sent,prom_emqx_connections_count,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
emqx_1mb_qos0_20260503T211148,emqx,1mb,0,0,2026-05-03T21:29:08.231691+00:00,992.0,results/1mb/captures/emqx_1mb_qos0_20260503T211148.pcap,3994.0,3994.0,4189840844.0,4188777982.0,5.0,2.76,10.12,4.21GB,4.21GB,118MB,11MB,36
emqx_1mb_qos0_20260503T211148,emqx,1mb,0,1,2026-05-03T21:45:42.038976+00:00,986.61,results/1mb/captures/emqx_1mb_qos0_20260503T211148.pcap,7955.0,7955.0,8344084353.0,8342946516.0,5.0,1.85,9.89,8.42GB,8.42GB,119MB,25.2MB,36
emqx_1mb_qos0_20260503T211148,emqx,1mb,0,2,2026-05-03T22:02:08.352023+00:00,978.54,results/1mb/captures/emqx_1mb_qos0_20260503T211148.pcap,11996.0,11996.0,12582602641.0,12581016552.0,5.0,1.90,9.82,12.6GB,12.6GB,122MB,35.8MB,36
emqx_1mb_qos0_20260503T211148,emqx,1mb,0,3,2026-05-03T22:18:35.250750+00:00,979.37,results/1mb/captures/emqx_1mb_qos0_20260503T211148.pcap,15981.0,15981.0,16762387253.0,16760355544.0,5.0,1.74,9.52,16.8GB,16.8GB,124MB,53.3MB,36
emqx_1mb_qos0_20260503T211148,emqx,1mb,0,4,2026-05-03T22:34:59.813041+00:00,979.4,results/1mb/captures/emqx_1mb_qos0_20260503T211148.pcap,19968.0,19968.0,20944327004.0,20941792109.0,5.0,1.71,9.42,21GB,21GB,126MB,63.4MB,36
emqx_1mb_qos0_20260503T211148,emqx,1mb,0,5,2026-05-03T22:51:23.400226+00:00,979.62,results/1mb/captures/emqx_1mb_qos0_20260503T211148.pcap,23957.0,23957.0,25128384876.0,25125326165.0,5.0,1.74,9.17,25.3GB,25.2GB,128MB,74.7MB,36
emqx_1mb_qos0_20260503T211148,emqx,1mb,0,6,2026-05-03T23:07:45.516299+00:00,977.19,results/1mb/captures/emqx_1mb_qos0_20260503T211148.pcap,27959.0,27959.0,29325741008.0,29322494203.0,5.0,1.51,9.12,29.5GB,29.5GB,130MB,84.8MB,36
emqx_1mb_qos0_20260503T211148,emqx,1mb,0,7,2026-05-03T23:24:03.346662+00:00,970.47,results/1mb/captures/emqx_1mb_qos0_20260503T211148.pcap,31969.0,31969.0,33531487627.0,33528052352.0,5.0,1.94,8.99,33.7GB,33.7GB,132MB,91.8MB,36
emqx_1mb_qos0_20260503T211148,emqx,1mb,0,8,2026-05-03T23:40:15.961374+00:00,967.9,results/1mb/captures/emqx_1mb_qos0_20260503T211148.pcap,35977.0,35977.0,37736314162.0,37731513083.0,5.0,1.22,8.86,37.9GB,37.9GB,134MB,99.2MB,36
emqx_1mb_qos0_20260503T211148,emqx,1mb,0,9,2026-05-03T23:56:27.517020+00:00,963.88,results/1mb/captures/emqx_1mb_qos0_20260503T211148.pcap,39989.0,39989.0,41944158451.0,41939168808.0,5.0,1.46,8.80,42.1GB,42.1GB,136MB,108MB,36
