experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_broker_messages_received,prom_broker_messages_sent,prom_broker_bytes_received,prom_broker_bytes_sent,prom_broker_clients_connected,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
mosquitto_16mb_qos0_20260506T180914,mosquitto,16mb,0,0,2026-05-06T18:34:30.638376+00:00,1462.51,results/16mb/captures/mosquitto_16mb_qos0_20260506T180914.pcap,12187.0,19355.0,66975604600.0,66975875058.0,3.0,0.12,0.19,67.2GB,67.2GB,12MB,291kB,1
mosquitto_16mb_qos0_20260506T180914,mosquitto,16mb,0,1,2026-05-06T18:58:16.334499+00:00,1417.78,results/16mb/captures/mosquitto_16mb_qos0_20260506T180914.pcap,24391.0,38050.0,134118983676.0,134119499314.0,2.0,0.10,0.17,134GB,134GB,12.1MB,2.05MB,1
mosquitto_16mb_qos0_20260506T180914,mosquitto,16mb,0,2,2026-05-06T19:23:00.852683+00:00,1476.91,results/16mb/captures/mosquitto_16mb_qos0_20260506T180914.pcap,36568.0,56999.0,201077810694.0,201078585651.0,2.0,0.09,0.16,202GB,202GB,12.2MB,2.13MB,1
mosquitto_16mb_qos0_20260506T180914,mosquitto,16mb,0,3,2026-05-06T19:46:57.521795+00:00,1428.72,results/16mb/captures/mosquitto_16mb_qos0_20260506T180914.pcap,48785.0,75368.0,268288299547.0,268289306156.0,3.0,0.07,0.14,269GB,269GB,12.3MB,2.17MB,1
mosquitto_16mb_qos0_20260506T180914,mosquitto,16mb,0,4,2026-05-06T20:10:40.308919+00:00,1415.56,results/16mb/captures/mosquitto_16mb_qos0_20260506T180914.pcap,60951.0,93678.0,335230349098.0,335231586777.0,2.0,0.05,0.13,336GB,336GB,12.5MB,2.37MB,1
mosquitto_16mb_qos0_20260506T180914,mosquitto,16mb,0,5,2026-05-06T20:34:14.077359+00:00,1406.92,results/16mb/captures/mosquitto_16mb_qos0_20260506T180914.pcap,73110.0,112130.0,402138843693.0,402140319142.0,3.0,0.08,0.13,403GB,403GB,12.7MB,2.39MB,1
mosquitto_16mb_qos0_20260506T180914,mosquitto,16mb,0,6,2026-05-06T20:57:47.251247+00:00,1405.97,results/16mb/captures/mosquitto_16mb_qos0_20260506T180914.pcap,85361.0,130667.0,469567439406.0,469569152421.0,2.0,0.08,0.13,471GB,470GB,13.3MB,2.58MB,1
mosquitto_16mb_qos0_20260506T180914,mosquitto,16mb,0,7,2026-05-06T21:21:11.042647+00:00,1396.74,results/16mb/captures/mosquitto_16mb_qos0_20260506T180914.pcap,97570.0,149018.0,536761150752.0,536759419981.0,2.0,0.20,0.12,538GB,538GB,13.6MB,2.66MB,1
mosquitto_16mb_qos0_20260506T180914,mosquitto,16mb,0,8,2026-05-06T21:46:08.792091+00:00,1490.67,results/16mb/captures/mosquitto_16mb_qos0_20260506T180914.pcap,109752.0,167939.0,603719977751.0,603722180607.0,2.0,0.07,0.12,605GB,605GB,13.8MB,2.7MB,1
mosquitto_16mb_qos0_20260506T180914,mosquitto,16mb,0,9,2026-05-06T22:10:36.391961+00:00,1460.61,results/16mb/captures/mosquitto_16mb_qos0_20260506T180914.pcap,121931.0,186889.0,670695582175.0,670698044287.0,2.0,0.15,0.12,672GB,672GB,14MB,2.81MB,1
