experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_com_hivemq_messages_incoming_publish_count,prom_com_hivemq_messages_outgoing_publish_count,prom_com_hivemq_networking_bytes_read_total,prom_com_hivemq_networking_bytes_written_total,prom_com_hivemq_subscriptions_overall_current,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
hivemq_16mb_qos0_20260422T164710,hivemq,16mb,0,0,2026-04-22T17:14:54.381987+00:00,1614.48,results/16mb/captures/hivemq_16mb_qos0_20260422T164710.pcap,3966.0,3312.0,66539389083.0,,1.0,1.09,31.68,67.3GB,56.2GB,872MB,4.42GB,57
hivemq_16mb_qos0_20260422T164710,hivemq,16mb,0,1,2026-04-22T17:41:21.212513+00:00,1579.35,results/16mb/captures/hivemq_16mb_qos0_20260422T164710.pcap,7993.0,6857.0,134118980369.0,,1.0,0.60,26.35,134GB,115GB,1.27GB,8.66GB,57
hivemq_16mb_qos0_20260422T164710,hivemq,16mb,0,2,2026-04-22T18:07:35.323378+00:00,1566.48,results/16mb/captures/hivemq_16mb_qos0_20260422T164710.pcap,12000.0,10344.0,201329467642.0,,1.0,0.49,23.62,202GB,174GB,1.57GB,12.6GB,57
hivemq_16mb_qos0_20260422T164710,hivemq,16mb,0,3,2026-04-22T18:32:14.679096+00:00,1472.29,results/16mb/captures/hivemq_16mb_qos0_20260422T164710.pcap,15982.0,13927.0,268137295903.0,,1.0,0.56,22.97,269GB,234GB,1.83GB,16.7GB,57
hivemq_16mb_qos0_20260422T164710,hivemq,16mb,0,4,2026-04-22T18:57:30.309742+00:00,1508.1,results/16mb/captures/hivemq_16mb_qos0_20260422T164710.pcap,19990.0,17480.0,335381338003.0,,1.0,0.48,23.12,336GB,294GB,2.06GB,20.7GB,57
hivemq_16mb_qos0_20260422T164710,hivemq,16mb,0,5,2026-04-22T19:23:56.002101+00:00,1578.17,results/16mb/captures/hivemq_16mb_qos0_20260422T164710.pcap,23976.0,20866.0,402256276116.0,,1.0,0.45,22.33,403GB,351GB,2.3GB,24.4GB,57
hivemq_16mb_qos0_20260422T164710,hivemq,16mb,0,6,2026-04-22T19:48:31.343893+00:00,1468.16,results/16mb/captures/hivemq_16mb_qos0_20260422T164710.pcap,27999.0,24371.0,469751980205.0,,1.0,0.43,22.76,471GB,410GB,2.52GB,28.2GB,57
hivemq_16mb_qos0_20260422T164710,hivemq,16mb,0,7,2026-04-22T20:49:07.749040+00:00,3628.62,results/16mb/captures/hivemq_16mb_qos0_20260422T164710.pcap,31968.0,27871.0,536341701585.0,,1.0,0.50,22.27,538GB,469GB,2.71GB,32GB,57
hivemq_16mb_qos0_20260422T164710,hivemq,16mb,0,8,2026-04-22T21:13:28.449637+00:00,1453.77,results/16mb/captures/hivemq_16mb_qos0_20260422T164710.pcap,35990.0,31422.0,603820628062.0,,1.0,0.44,21.80,605GB,528GB,2.93GB,35.8GB,57
hivemq_16mb_qos0_20260422T164710,hivemq,16mb,0,9,2026-04-22T21:38:02.439257+00:00,1466.45,results/16mb/captures/hivemq_16mb_qos0_20260422T164710.pcap,39983.0,35033.0,670813008422.0,,1.0,0.48,19.77,672GB,589GB,3.16GB,39.7GB,57
