experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_rabbitmq_channel_messages_published_total,prom_rabbitmq_channel_messages_delivered_total,prom_rabbitmq_connection_incoming_bytes_total,prom_rabbitmq_connection_outgoing_bytes_total,prom_rabbitmq_connections,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
rabbitmq_16mb_qos0_20260506T045938,rabbitmq,16mb,0,0,2026-05-06T05:59:42.386366+00:00,3547.57,results/16mb/captures/rabbitmq_16mb_qos0_20260506T045938.pcap,0.0,0.0,123.0,66891432601.0,3.0,0.92,22.45,67.2GB,67.1GB,83.8MB,100MB,28
rabbitmq_16mb_qos0_20260506T045938,rabbitmq,16mb,0,1,2026-05-06T06:53:35.817049+00:00,3222.76,results/16mb/captures/rabbitmq_16mb_qos0_20260506T045938.pcap,0.0,0.0,173.0,133866752090.0,3.0,1.06,21.69,134GB,134GB,92.2MB,113MB,28
rabbitmq_16mb_qos0_20260506T045938,rabbitmq,16mb,0,2,2026-05-06T07:47:19.555626+00:00,3216.65,results/16mb/captures/rabbitmq_16mb_qos0_20260506T045938.pcap,0.0,0.0,221.0,201060177521.0,2.0,1.04,22.05,202GB,201GB,105MB,125MB,28
rabbitmq_16mb_qos0_20260506T045938,rabbitmq,16mb,0,3,2026-05-06T08:41:13.740970+00:00,3227.18,results/16mb/captures/rabbitmq_16mb_qos0_20260506T045938.pcap,0.0,0.0,269.0,268052274356.0,2.0,1.12,22.46,269GB,269GB,117MB,134MB,28
rabbitmq_16mb_qos0_20260506T045938,rabbitmq,16mb,0,4,2026-05-06T09:35:06.703028+00:00,3225.13,results/16mb/captures/rabbitmq_16mb_qos0_20260506T045938.pcap,0.0,0.0,319.0,335145035514.0,3.0,0.84,22.45,336GB,336GB,144MB,157MB,28
rabbitmq_16mb_qos0_20260506T045938,rabbitmq,16mb,0,5,2026-05-06T10:29:10.863932+00:00,3236.8,results/16mb/captures/rabbitmq_16mb_qos0_20260506T045938.pcap,0.0,0.0,367.0,402237796703.0,2.0,92.38,22.87,403GB,403GB,181MB,189MB,32
rabbitmq_16mb_qos0_20260506T045938,rabbitmq,16mb,0,6,2026-05-06T11:23:15.817058+00:00,3237.25,results/16mb/captures/rabbitmq_16mb_qos0_20260506T045938.pcap,0.0,0.0,417.0,469213116160.0,2.0,0.92,18.81,471GB,470GB,192MB,195MB,28
rabbitmq_16mb_qos0_20260506T045938,rabbitmq,16mb,0,7,2026-05-06T12:17:17.528425+00:00,3234.18,results/16mb/captures/rabbitmq_16mb_qos0_20260506T045938.pcap,0.0,0.0,465.0,536523983365.0,2.0,1.37,22.07,538GB,537GB,203MB,202MB,28
rabbitmq_16mb_qos0_20260506T045938,rabbitmq,16mb,0,8,2026-05-06T13:11:20.332883+00:00,3236.03,results/16mb/captures/rabbitmq_16mb_qos0_20260506T045938.pcap,0.0,0.0,515.0,603616744517.0,2.0,1.17,22.34,605GB,605GB,214MB,211MB,28
rabbitmq_16mb_qos0_20260506T045938,rabbitmq,16mb,0,9,2026-05-06T14:05:29.789006+00:00,3242.16,results/16mb/captures/rabbitmq_16mb_qos0_20260506T045938.pcap,0.0,0.0,563.0,670524954432.0,3.0,0.93,22.41,672GB,672GB,241MB,237MB,28
