experiment_id,broker,payload_size,qos,execution,timestamp,elapsed_s,pcap_file,prom_nanomq_messages_received,prom_nanomq_messages_sent,prom_nanomq_connections_count,prom_nanomq_memory_usage,prom_nanomq_cpu_usage,broker_cpu_pct,broker_mem_pct,broker_net_rx,broker_net_tx,broker_blk_r,broker_blk_w,broker_pids
nanomq_16mb_qos0_20260506T140548,nanomq,16mb,0,0,2026-05-06T14:30:24.972352+00:00,1426.25,results/16mb/captures/nanomq_16mb_qos0_20260506T140548.pcap,11911.0,3969.0,1.0,20865024.0,8.08,0.00,0.06,67.3GB,67.2GB,3.21MB,57.3kB,14
nanomq_16mb_qos0_20260506T140548,nanomq,16mb,0,1,2026-05-06T14:54:23.566686+00:00,1431.05,results/16mb/captures/nanomq_16mb_qos0_20260506T140548.pcap,23977.0,7992.0,1.0,1859584.0,7.85,0.00,0.06,135GB,134GB,3.26MB,69.6kB,14
nanomq_16mb_qos0_20260506T140548,nanomq,16mb,0,2,2026-05-06T15:18:46.016743+00:00,1452.0,results/16mb/captures/nanomq_16mb_qos0_20260506T140548.pcap,36001.0,12000.0,1.0,1867776.0,8.82,0.00,0.07,202GB,202GB,3.46MB,221kB,14
nanomq_16mb_qos0_20260506T140548,nanomq,16mb,0,3,2026-05-06T15:43:19.456586+00:00,1466.29,results/16mb/captures/nanomq_16mb_qos0_20260506T140548.pcap,47923.0,15974.0,1.0,1765376.0,8.62,0.00,0.07,269GB,269GB,3.53MB,307kB,14
nanomq_16mb_qos0_20260506T140548,nanomq,16mb,0,4,2026-05-06T16:08:19.356710+00:00,1492.58,results/16mb/captures/nanomq_16mb_qos0_20260506T140548.pcap,59974.0,19991.0,1.0,1830912.0,8.29,0.00,0.08,336GB,336GB,3.54MB,328kB,14
nanomq_16mb_qos0_20260506T140548,nanomq,16mb,0,5,2026-05-06T16:32:34.793147+00:00,1447.7,results/16mb/captures/nanomq_16mb_qos0_20260506T140548.pcap,71903.0,23967.0,2.0,5165056.0,9.43,0.00,0.08,404GB,403GB,3.69MB,479kB,14
nanomq_16mb_qos0_20260506T140548,nanomq,16mb,0,6,2026-05-06T16:57:10.473551+00:00,1468.44,results/16mb/captures/nanomq_16mb_qos0_20260506T140548.pcap,83989.0,27996.0,1.0,1744896.0,8.12,0.00,0.08,471GB,470GB,3.83MB,553kB,14
nanomq_16mb_qos0_20260506T140548,nanomq,16mb,0,7,2026-05-06T17:21:41.973378+00:00,1464.23,results/16mb/captures/nanomq_16mb_qos0_20260506T140548.pcap,95968.0,31989.0,1.0,1728512.0,10.13,0.00,0.08,538GB,538GB,4.1MB,737kB,14
nanomq_16mb_qos0_20260506T140548,nanomq,16mb,0,8,2026-05-06T17:46:28.659581+00:00,1478.93,results/16mb/captures/nanomq_16mb_qos0_20260506T140548.pcap,107941.0,35980.0,1.0,1855488.0,8.29,0.00,0.07,605GB,605GB,4.24MB,831kB,14
nanomq_16mb_qos0_20260506T140548,nanomq,16mb,0,9,2026-05-06T18:09:00.856125+00:00,1344.66,results/16mb/captures/nanomq_16mb_qos0_20260506T140548.pcap,119908.0,39969.0,1.0,1785856.0,8.11,0.00,0.07,673GB,672GB,4.3MB,852kB,14
